CAPA,CIV,TRAMO,INFRAESTRUCTURA,COSTADO,UBICACION,ABS_INICIO,ABS_FINAL,CALZADA
120101,CUN12-SEC1,SECTOR 1,BERM IZQ,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,0,500,UNICA
120102,CUN12-SEC1,SECTOR 1,CALZADA,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,0,500,UNICA
120103,CUN12-SEC1,SECTOR 1,BERM DER,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,0,500,UNICA
120104,CUN12-SEC1,SECTOR 1,BERM IZQ,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,500,1000,UNICA
120105,CUN12-SEC1,SECTOR 1,CALZADA,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,500,1000,UNICA
120106,CUN12-SEC1,SECTOR 1,BERM DER,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,500,1000,UNICA
120107,CUN12-SEC1,SECTOR 1,BERM IZQ,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,1000,1500,UNICA
120108,CUN12-SEC1,SECTOR 1,CALZADA,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,1000,1500,UNICA
120109,CUN12-SEC1,SECTOR 1,BERM DER,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,1000,1500,UNICA
120110,CUN12-SEC1,SECTOR 1,BERM IZQ,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,1500,1820,UNICA
120111,CUN12-SEC1,SECTOR 1,CALZADA,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,1500,1820,UNICA
120112,CUN12-SEC1,SECTOR 1,BERM DER,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,1500,1820,UNICA
120113,CUN12-SEC1,SECTOR 1,BERM IZQ,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,1820,1865,UNICA
120114,CUN12-SEC1,SECTOR 1,CALZADA,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,1820,1865,UNICA
120115,CUN12-SEC1,SECTOR 1,BERM DER,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,1820,1865,UNICA
120116,CUN12-SEC1,SECTOR 1,BERM IZQ,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,1865,2000,UNICA
120117,CUN12-SEC1,SECTOR 1,CALZADA,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,1865,2000,UNICA
120118,CUN12-SEC1,SECTOR 1,BERM DER,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,1865,2000,UNICA
120119,CUN12-SEC1,SECTOR 1,BERM IZQ,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,2000,2210,UNICA
120120,CUN12-SEC1,SECTOR 1,CALZADA,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,2000,2210,UNICA
120121,CUN12-SEC1,SECTOR 1,BERM DER,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,2000,2210,UNICA
120122,CUN12-SEC1,SECTOR 1,BERM IZQ,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,2210,2400,UNICA
120123,CUN12-SEC1,SECTOR 1,CALZADA,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,2210,2400,UNICA
120124,CUN12-SEC1,SECTOR 1,BERM DER,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,2210,2400,UNICA
120125,CUN12-SEC1,SECTOR 1,BERM IZQ,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,2400,2500,UNICA
120126,CUN12-SEC1,SECTOR 1,CALZADA,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,2400,2500,UNICA
120127,CUN12-SEC1,SECTOR 1,BERM DER,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,2400,2500,UNICA
120128,CUN12-SEC1,SECTOR 1,BERM IZQ,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,2500,3000,UNICA
120129,CUN12-SEC1,SECTOR 1,CALZADA,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,2500,3000,UNICA
120130,CUN12-SEC1,SECTOR 1,BERM DER,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,2500,3000,UNICA
120131,CUN12-SEC1,SECTOR 1,BERM IZQ,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,3000,3449.14,UNICA
