SHEETS: ['Resumen capítulo']

===== SHEET: Resumen capítulo  dims=A1:M38 max_row=38 max_col=13 =====
r1: [1]RESUMEN POR CAPÍTULO — 4.ESPACIO PUBLICO (Obra Ejecutada)
r3: [1]Generado: 02/06/2026 12:00 | Unión Temporal MURCON
r4: [1]Ítem | [2]Descripción | [3]Cant. ClaraCore | [4]Costo ClaraCore | [5]Cant. Cobrada | [6]Costo Cobrado | [7]Δ Cantidad | [8]Δ Costo | [9]Estado | [10]Aprobado
r5: [1]1.03. | [2]EXCAVACION MANUAL EN MATERIAL COMUN. Incluye cargue. | [3]2702.91 | [4]62872150 | [5]4603.896 | [6]107070907.32 | [7]-1900.986 | [8]-44198757.31999999 | [9]Devolución | [10]0
r6: [1]4.01. | [2]PISO EN ADOQUIN DE ARCILLA 20x10x6cm (Suministro e Instalación. Incluye Base 3cm Arena Nivelacion y Arena de Sello) | [3]10252.63 | [4]434701246 | [5]10251.457 | [6]434652000.38 | [7]1.172999999998865 | [8]49245.62000000477 | [9]Por cobrar | [10]434701246
r7: [1]4.02. | [2]PISO EN LOSETA PREFABRICADA A50 (Suministro e Instalación. Incluye Base 4cm Arena Nivelacion y Arena de Sello) | [3]344.87 | [4]22404134 | [5]368.12 | [6]23914548 | [7]-23.25 | [8]-1510414 | [9]Devolución | [10]22404134
r8: [1]4.03. | [2]PISO EN ADOQUIN DE CONCRETO A25 20x10x6cm (Suministro e Instalación. Incluye Base 3cm Arena Nivelación y Arena de Sello) | [3]3200.58 | [4]173452239 | [5]3397.16 | [6]184105687 | [7]-196.5799999999999 | [8]-10653448 | [9]Devolución | [10]173452239
r9: [1]4.04. | [2]PISOS EN LOSETA PREFABRICADA A55 TÁCTIL ALERTA Y/O A56 GUIA 40x40x6 cm. SUMINISTRO E INSTALACIÓN. (INCLUYE 4cm DE MORTERO 1:5 HECHO EN OBRA PARA BASE Y ARENA DE PEÑA PARA SELLO). | [3]2877.15 | [4]208607794 | [5]2950.67 | [6]213938337.2 | [7]-73.51999999999998 | [8]-5330543.199999988 | [9]Devolución | [10]208607794
r10: [1]4.08. | [2]BORDILLO PREFABRICADO A80 (Suministro e Instalación. Incluye 3cm Mortero de Nivelación 1:5) | [3]11701.35 | [4]535956821 | [5]11810.81 | [6]540970377.4 | [7]-109.4599999999991 | [8]-5013556.399999976 | [9]Devolución | [10]432966041
r11: [1]4.09. | [2]SARDINEL TIPO A10 (Suministro e Instalación. Incluye 3cm Mortero 2000 PSI) | [3]9767.02 | [4]559015406 | [5]9875.39 | [6]565401134 | [7]-108.369999999999 | [8]-6385728 | [9]Devolución | [10]153706316
r12: [1]4.12. | [2]SARDINEL BAJO A85 PARA RAMPAS (Suministro e Instalación. Incluye 3cm Mortero 2000 PSI) | [3]482.26 | [4]26010217 | [5]482.26 | [6]26010209 | [7]0 | [8]8 | [9]Por cobrar | [10]26010217
r13: [1]4.14. | [2]SARDINEL ESPECIAL A100 PARA RAMPA TIPO A (Suministro e Instalación. Incluye 3cm Mortero 2000 PSI) | [3]49.41 | [4]2473712 | [5]49.41 | [6]2473712 | [7]0 | [8]0 | [9]Equilibrio | [10]2473712
r14: [1]4.17. | [2]CAÑUELA TIPO A120 (Suministro e Instalación. Incluye 3cm Mortero 1:5) | [3]12.17 | [4]568473 | [5]12.16 | [6]568006 | [7]0.009999999999999787 | [8]467 | [9]Por cobrar | [10]0
r15: [1]4.18. | [2]REJILLA PREFABRICADA EN CONCRETO 04m x 04m. (Incluye suministro y colocación mortero de 2000 PSI y mano de obra) | [3]50 | [4]1758100 | [5]50 | [6]1758100 | [7]0 | [8]0 | [9]Equilibrio | [10]0
r16: [1]4.19. | [2]FRANJA DE AJUSTE EN CONCRETO 3000 PSI e= 10 CM  ANCHO ENTRE 12-20CM | [3]4687.62 | [4]47443398 | [5]1091.56 | [6]11047681.18 | [7]3596.06 | [8]36395716.82 | [9]Por cobrar | [10]0
r17: [1]4.22. | [2]LOSA DE CONCRETO MR45 (Suministro, Formaleteado, Colocación y Acabado. No Incluye Acero, Curado, Juntas) | [3]776.22 | [4]463837243 | [5]822.57 | [6]491534101 | [7]-46.35000000000002 | [8]-27696858 | [9]Devolución | [10]0
r18: [1]4.23. | [2]ACERO DE REFUERZO (Incluye Suministro Figurado y Fijación) | [3]3854.66 | [4]10288088 | [5]10327.77 | [6]27564818 | [7]-6473.110000000001 | [8]-17276730 | [9]Devolución | [10]0
r19: [1]4.25. | [2]CANASTILLA PASAJUNTAS (Incluye suministro y fijación) | [3]3540.128 | [4]9101669 | [5]43.15 | [6]110938 | [7]3496.978 | [8]8990731 | [9]Por cobrar | [10]0
r20: [1]4.26. | [2]"ACERO LISO PARA TRANSFERENCIA DE LOSAS D= 1 1/4"" (NO INCLUYE CANASTILLA). SUMINISTRO E INSTALACIÓN." | [3]11904.885 | [4]40309942 | [5]9369.03 | [6]31723535 | [7]2535.855 | [8]8586407 | [9]Por cobrar | [10]0
r21: [1]4.33. | [2]SUBBASE GRANULAR B-200 (Suministro, Extendido, Nivelación, Humedecimiento y Compactación con vibrocompactador) | [3]3335.91 | [4]180590437 | [5]3335.91 | [6]181013154 | [7]0 | [8]-422717 | [9]Devolución | [10]277773674
r22: [1]4.35. | [2]MEZCLA ASFALTICA EN CALIENTE TIPO DENSO MD12 ASF CONVENCIONAL (Suministro Extendido y Nivelación Manual y Compactación) | [3]197.22 | [4]124716603 | [5]220.792 | [6]139623530 | [7]-23.572 | [8]-14906927 | [9]Devolución | [10]0
r23: [1]4.37. | [2]IMPRIMACIÓN CON EMULSIÓN ASFÁLTICA CRR-1 (Suministro Barrido Superficie y Riego) | [3]3944.61 | [4]5830137 | [5]4435.44 | [6]6555582 | [7]-490.8299999999995 | [8]-725445 | [9]Devolución | [10]0
r24: [1]4.56. | [2]SIEMBRA DE GRAMA (incluye Suministro e Instalación. Incluye 10cm de Tierra Negra) | [3]14232.31 | [4]193431328 | [5]16127.97 | [6]219195241.83 | [7]-1895.66 | [8]-25763913.83000001 | [9]Devolución | [10]0
r25: [1]4.60. | [2]BORDE CONTENEDOR DE RAICES A 70 (INCLUYE SUMINISTRO E INSTALACIÓN INCLUYE BASE DE 3cm EN MORTERO 1:3 HECHO EN OBRA) | [3]2262.36 | [4]54296640 | [5]2325.36 | [6]55808640 | [7]-63 | [8]-1512000 | [9]Devolución | [10]54296640
r26: [1]4.62. | [2]PROTECTOR DE ARBOL DE DOS TUBOS TIPO M91 (Incluye Suministro e Instalación. No Incluye bases) | [3]341 | [4]50885725 | [5]526 | [6]78492350 | [7]-185 | [8]-27606625 | [9]Devolución | [10]0
