registro;acta;semana;capitulo;competencia;abs_inicial;abs_final;civ;item;descripcion;und;longitud;ancho;espesor;cantidad;valor_unitario;costo_directo;calzada;tramo_inicio;tramo_final;pk_id;tramo;observaciones;contrato_id
1;8;35;1.PRELIMINARES;IDU;330;350;1001348;1.10.;TRANSPORTE Y DISPOSICION FINAL DE ESCOMBROS EN SITIO AUTORIZADO (distancia de transporte 21 Km). A distancia mayor del acarreo libre (90 m) en sitio autorizado por la entidad Ambiental competente.;M3;20;8;0.356;57;19077;1087389;ORIENTAL;CALLE 172;CALLE 173;91062402;TRAMO 1;transporte de material de excavacion para conformacion de estrutura de vía;2
2;8;35;1.PRELIMINARES;IDU;325;350;1001348;1.10.;TRANSPORTE Y DISPOSICION FINAL DE ESCOMBROS EN SITIO AUTORIZADO (distancia de transporte 21 Km). A distancia mayor del acarreo libre (90 m) en sitio autorizado por la entidad Ambiental competente.;M3;20;8;0.35625;57;19077;1087389;ORIENTAL;CALLE 172;CALLE 173;91062402;TRAMO 1;transporte de material de excavacion para conformacion de estrutura de vía;2
3;9;39;4.ESPACIO PUBLICO;IDU;1440;1485;1000938;4.08.;BORDILLO PREFABRICADO A80 (Suministro e Instalación. Incluye 3cm Mortero de Nivelación 1:5);ML;45;0;0;45;45803;2061135;ORIENTAL;E.P.;E.P.;91062388;TRAMO 2;instalacion de bordillo para confinamiento de espacio publico;2
4;9;39;4.ESPACIO PUBLICO;IDU;1440;1485;1000938;1.03.;EXCAVACION MANUAL EN MATERIAL COMUN. Incluye cargue.;M3;45;0.3;0.12;1.62;23261;37683;ORIENTAL;E.P.;E.P.;91062388;TRAMO 2;excavación manual para instalacion de bordillo para confinamiento de espacio publico;2
5;9;39;4.ESPACIO PUBLICO;IDU;1569;1580;1000717;4.33.;SUBBASE GRANULAR B-200 (Suministro, Extendido, Nivelación, Humedecimiento y Compactación con vibrocompactador);M3;11;3.5;0.73;28.1;54262;1524762;ORIENTAL;E.P.;CICLORUTA;91062386;TRAMO 2;instalacion de material granular para conformacion de espacio publico;2
6;9;39;7.PLUVIAL REDES DE ALCANTARILLADO;IDU;1345;1387;1007124;7.10.;RELLENO PARA REDES EN SUBBASE GRANULAR B-200 (Suministro, Extendido, Humedecimiento y Compactación);M3;8;1.54;4.05;49.9;59152;2951685;ORIENTAL;PZ;PZ;91062394;TRAMO 2;instalación de material granular para relleno de redes húmedas;2
7;9;39;1.PRELIMINARES;IDU;1530;1535;1000763;1.02.;EXCAVACION MECANICA EN MATERIAL COMUN (Incluye Cargue);M3;5;8.46;1.5;63.45;4819;305766;ORIENTAL;VIA;VIA;91062384;TRAMO 2;excavacion mecanica para conformación de estructura de vía;2
8;9;39;2.RELLENOS;IDU;1440;1520;1000763;2.10.;GEOTEXTIL NT 4000 PARA ESTABILIZACION SUBRASANTE/CAPAS GRANULARES (Inc. Suministro e Instalación);M2;80;13;0;1040;11519;11979760;ORIENTAL;VIA;VIA;91062384;TRAMO 2;instalacion de geotextil para estabilización de subrasante - verificar observación;2
9;9;39;7.PLUVIAL REDES DE ALCANTARILLADO;IDU;1530;1536.32;1000763;NP-035;EXCAVACION MECANICA EN MATERIAL COMUN PARA REDES DE ALCANTARILLADO (INCLUYE CARGUE);M3;6.32;0.9;0.35;1.99;4819;9590;ORIENTAL;PZ86;PZ85A;91062384;TRAMO 2;excavación mecanica para instalación de redes pluviales;2
10;9;39;7.PLUVIAL REDES DE ALCANTARILLADO;IDU;1530;1536.32;1000763;NP-177;"RELLENO EN TRITURADO DE 3/4"" (INCLUYE TRANSPORTE, SUMINISTRO, EXTENDIDO A MAQUINA Y COLOCACION)";M3;6.32;0.9;0.28;1.59;94260;149873;ORIENTAL;PZ86;PZ85A;91062384;TRAMO 2;instalacion de triturado para de redes pluviales;2
