registro;acta;semana;capitulo;competencia;abs_inicial;abs_final;civ;item;descripcion;und;longitud;ancho;espesor;cantidad;valor_unitario;costo_directo;calzada;tramo_inicio;tramo_final;pk_id;tramo;observaciones;contrato_id
51028;71;270;8.CODENSA REDES SECAS;IDU;1570;1614;1000717;NP-122;CAJA DE INSPECCIÓN DOBLE PARA CANALIZACIÓN NORMA CODENSA CS 276 ACTUALIZADA A LA NORMA CODENSA 2018  (Anden. Incluye Base, Muros, Pañete, Marco y Tapas).;UN;2;0;0;2;1961938;3923876;ORIENTAL;cl 185 b;cl 186;92086822;TRAMO 2;"Ajuste y cierre de cantidades para el item de cobro NP-122 CAJA DE INSPECCIÓN DOBLE PARA CANALIZACIÓN NORMA CODENSA CS 276 ACTUALIZADA A LA NORMA CODENSA 2018  (Anden. Incluye Base Muros Pañete Marco y Tapas).. Balance de cantidades en donde se descuentan las cantidades cobradas a la fecha y se recobran de acuerdo a este reporte. Cantidades reportadas y validadas de acuerdo a información enviada a Interventoría
";2
51027;71;270;8.CODENSA REDES SECAS;IDU;1850;1856;1007358;NP-122;CAJA DE INSPECCIÓN DOBLE PARA CANALIZACIÓN NORMA CODENSA CS 276 ACTUALIZADA A LA NORMA CODENSA 2018  (Anden. Incluye Base, Muros, Pañete, Marco y Tapas).;UN;1;0;0;1;1961938;1961938;ORIENTAL;cl 188 bis;cl 189;92086815;TRAMO 2;"Ajuste y cierre de cantidades para el item de cobro NP-122 CAJA DE INSPECCIÓN DOBLE PARA CANALIZACIÓN NORMA CODENSA CS 276 ACTUALIZADA A LA NORMA CODENSA 2018  (Anden. Incluye Base Muros Pañete Marco y Tapas).. Balance de cantidades en donde se descuentan las cantidades cobradas a la fecha y se recobran de acuerdo a este reporte. Cantidades reportadas y validadas de acuerdo a información enviada a Interventoría
";2
51026;71;270;8.CODENSA REDES SECAS;IDU;1949;1993.37;1006819;8.22.;CAJA DE INSPECCIÓN PARA ALUMBRADO PÚBLICO NORMA CODENSA CS 274  (Anden. Incluye Base, Muros, Pañete, Marco y Tapa). Medidas Externas: 0.90 x 0.90m. Medidas Internas: 0.60 x 0.60m. Altura: 0.93m.;UN;-1;0;0;-1;393359;-393359;ORIENTAL;cl 189;cl 191;92053080;TRAMO 2;Ajuste y cierre de cantidades para el item de cobro 8.22.CAJA DE INSPECCIÓN PARA ALUMBRADO PÚBLICO NORMA CODENSA CS 274  (Anden. Incluye Base Muros Pañete Marco y Tapa). Medidas Externas: 0.90 x 0.90m. Medidas Internas: 0.60 x 0.60m. Altura: 0.93m.. Balance de cantidades en donde se descuentan las cantidades cobradas a la fecha y se recobran de acuerdo a este reporte. Cantidades reportadas y validadas de acuerdo a información enviada a Interventoría;2
51025;71;270;8.CODENSA REDES SECAS;IDU;1510.83;1530;1000763;8.22.;CAJA DE INSPECCIÓN PARA ALUMBRADO PÚBLICO NORMA CODENSA CS 274  (Anden. Incluye Base, Muros, Pañete, Marco y Tapa). Medidas Externas: 0.90 x 0.90m. Medidas Internas: 0.60 x 0.60m. Altura: 0.93m.;UN;-1;0;0;-1;393359;-393359;OCCIDENTAL;cl 183;cl 185 b;92086826;TRAMO 2;Ajuste y cierre de cantidades para el item de cobro 8.22.CAJA DE INSPECCIÓN PARA ALUMBRADO PÚBLICO NORMA CODENSA CS 274  (Anden. Incluye Base Muros Pañete Marco y Tapa). Medidas Externas: 0.90 x 0.90m. Medidas Internas: 0.60 x 0.60m. Altura: 0.93m.. Balance de cantidades en donde se descuentan las cantidades cobradas a la fecha y se recobran de acuerdo a este reporte. Cantidades reportadas y validadas de acuerdo a información enviada a Interventoría;2
51024;71;270;8.CODENSA REDES SECAS;IDU;1567.28;1615.41;1000717;8.22.;CAJA DE INSPECCIÓN PARA ALUMBRADO PÚBLICO NORMA CODENSA CS 274  (Anden. Incluye Base, Muros, Pañete, Marco y Tapa). Medidas Externas: 0.90 x 0.90m. Medidas Internas: 0.60 x 0.60m. Altura: 0.93m.;UN;-2.1;0;0;-2.1;393359;-826054;OCCIDENTAL;cl 185 b;cl 186;525259;TRAMO 2;Ajuste y cierre de cantidades para el item de cobro 8.22.CAJA DE INSPECCIÓN PARA ALUMBRADO PÚBLICO NORMA CODENSA CS 274  (Anden. Incluye Base Muros Pañete Marco y Tapa). Medidas Externas: 0.90 x 0.90m. Medidas Internas: 0.60 x 0.60m. Altura: 0.93m.. Balance de cantidades en donde se descuentan las cantidades cobradas a la fecha y se recobran de acuerdo a este reporte. Cantidades reportadas y validadas de acuerdo a información enviada a Interventoría;2
51023;71;270;8.CODENSA REDES SECAS;IDU;1994.02;2169.2;1000259;8.22.;CAJA DE INSPECCIÓN PARA ALUMBRADO PÚBLICO NORMA CODENSA CS 274  (Anden. Incluye Base, Muros, Pañete, Marco y Tapa). Medidas Externas: 0.90 x 0.90m. Medidas Internas: 0.60 x 0.60m. Altura: 0.93m.;UN;-0.7;0;0;-0.7;393359;-275351;ORIENTAL;cl 189;cl 191;525253;TRAMO 2;Ajuste y cierre de cantidades para el item de cobro 8.22.CAJA DE INSPECCIÓN PARA ALUMBRADO PÚBLICO NORMA CODENSA CS 274  (Anden. Incluye Base Muros Pañete Marco y Tapa). Medidas Externas: 0.90 x 0.90m. Medidas Internas: 0.60 x 0.60m. Altura: 0.93m.. Balance de cantidades en donde se descuentan las cantidades cobradas a la fecha y se recobran de acuerdo a este reporte. Cantidades reportadas y validadas de acuerdo a información enviada a Interventoría;2
51022;71;270;8.CODENSA REDES SECAS;IDU;1216.63;1312.95;1006372;8.22.;CAJA DE INSPECCIÓN PARA ALUMBRADO PÚBLICO NORMA CODENSA CS 274  (Anden. Incluye Base, Muros, Pañete, Marco y Tapa). Medidas Externas: 0.90 x 0.90m. Medidas Internas: 0.60 x 0.60m. Altura: 0.93m.;UN;-0.7;0;0;-0.7;393359;-275351;ORIENTAL;cl 182 a;cl 183;606394;TRAMO 1;Ajuste y cierre de cantidades para el item de cobro 8.22.CAJA DE INSPECCIÓN PARA ALUMBRADO PÚBLICO NORMA CODENSA CS 274  (Anden. Incluye Base Muros Pañete Marco y Tapa). Medidas Externas: 0.90 x 0.90m. Medidas Internas: 0.60 x 0.60m. Altura: 0.93m.. Balance de cantidades en donde se descuentan las cantidades cobradas a la fecha y se recobran de acuerdo a este reporte. Cantidades reportadas y validadas de acuerdo a información enviada a Interventoría;2
51021;71;270;8.CODENSA REDES SECAS;IDU;962.04;1114.97;1001082;8.22.;CAJA DE INSPECCIÓN PARA ALUMBRADO PÚBLICO NORMA CODENSA CS 274  (Anden. Incluye Base, Muros, Pañete, Marco y Tapa). Medidas Externas: 0.90 x 0.90m. Medidas Internas: 0.60 x 0.60m. Altura: 0.93m.;UN;-1;0;0;-1;393359;-393359;OCCIDENTAL;cl 181;cl 181 c;91062406;TRAMO 1;Ajuste y cierre de cantidades para el item de cobro 8.22.CAJA DE INSPECCIÓN PARA ALUMBRADO PÚBLICO NORMA CODENSA CS 274  (Anden. Incluye Base Muros Pañete Marco y Tapa). Medidas Externas: 0.90 x 0.90m. Medidas Internas: 0.60 x 0.60m. Altura: 0.93m.. Balance de cantidades en donde se descuentan las cantidades cobradas a la fecha y se recobran de acuerdo a este reporte. Cantidades reportadas y validadas de acuerdo a información enviada a Interventoría;2
51020;71;270;8.CODENSA REDES SECAS;IDU;648.99;894.93;1001300;8.22.;CAJA DE INSPECCIÓN PARA ALUMBRADO PÚBLICO NORMA CODENSA CS 274  (Anden. Incluye Base, Muros, Pañete, Marco y Tapa). Medidas Externas: 0.90 x 0.90m. Medidas Internas: 0.60 x 0.60m. Altura: 0.93m.;UN;-2;0;0;-2;393359;-786718;OCCIDENTAL;cl 173;cl 180;91062408;TRAMO 1;Ajuste y cierre de cantidades para el item de cobro 8.22.CAJA DE INSPECCIÓN PARA ALUMBRADO PÚBLICO NORMA CODENSA CS 274  (Anden. Incluye Base Muros Pañete Marco y Tapa). Medidas Externas: 0.90 x 0.90m. Medidas Internas: 0.60 x 0.60m. Altura: 0.93m.. Balance de cantidades en donde se descuentan las cantidades cobradas a la fecha y se recobran de acuerdo a este reporte. Cantidades reportadas y validadas de acuerdo a información enviada a Interventoría;2
51019;71;270;8.CODENSA REDES SECAS;IDU;224.4;513.4;1001348;8.22.;CAJA DE INSPECCIÓN PARA ALUMBRADO PÚBLICO NORMA CODENSA CS 274  (Anden. Incluye Base, Muros, Pañete, Marco y Tapa). Medidas Externas: 0.90 x 0.90m. Medidas Internas: 0.60 x 0.60m. Altura: 0.93m.;UN;-10;0;0;-10;393359;-3933590;OCCIDENTAL;cl 172;cl 173;503554;TRAMO 1;Ajuste y cierre de cantidades para el item de cobro 8.22.CAJA DE INSPECCIÓN PARA ALUMBRADO PÚBLICO NORMA CODENSA CS 274  (Anden. Incluye Base Muros Pañete Marco y Tapa). Medidas Externas: 0.90 x 0.90m. Medidas Internas: 0.60 x 0.60m. Altura: 0.93m.. Balance de cantidades en donde se descuentan las cantidades cobradas a la fecha y se recobran de acuerdo a este reporte. Cantidades reportadas y validadas de acuerdo a información enviada a Interventoría;2
